t=0ms START device=ios targets=192.0.2.1:44433/v4,[2001:db8::1]:44433/v6 minutes=4500 echoIntervalMs=250 qlog=/var/mobile/Containers/Data/Application/F584FE2E-5D14-4C36-BD66-C6D10AC83167/Documents/qlog
t=2ms PREVIOUS-RUN none
t=4ms TRACE-BUDGET mb=1182 plannedExchanges=1080000
t=6ms CONNECT-ATTEMPT n=1 target=192.0.2.1:44433 family=v4
t=80ms CONNECTED session=f2d3eea00e13b55571b3371b2063ce2024d2c7c9 wire=f2d3eea00e13b55571b3371b2063ce2024d2c7c9 alpn=test
t=80ms PATH Original
t=126ms ECHO-OK seq=1 rtt=44ms pending=0B
t=416ms ECHO-OK seq=2 rtt=37ms pending=0B
t=709ms ECHO-OK seq=3 rtt=39ms pending=0B
t=1006ms ECHO-OK seq=4 rtt=40ms pending=0B
t=1307ms ECHO-OK seq=5 rtt=45ms pending=0B
t=1606ms ECHO-OK seq=6 rtt=44ms pending=0B
t=1906ms ECHO-OK seq=7 rtt=43ms pending=0B
t=2206ms ECHO-OK seq=8 rtt=42ms pending=0B
t=2508ms ECHO-OK seq=9 rtt=45ms pending=0B
t=2808ms ECHO-OK seq=10 rtt=42ms pending=0B
t=3105ms ECHO-OK seq=11 rtt=44ms pending=0B
t=3399ms ECHO-OK seq=12 rtt=41ms pending=0B
t=3694ms ECHO-OK seq=13 rtt=39ms pending=0B
t=3989ms ECHO-OK seq=14 rtt=39ms pending=0B
t=4284ms ECHO-OK seq=15 rtt=41ms pending=0B
t=4579ms ECHO-OK seq=16 rtt=42ms pending=0B
t=4877ms ECHO-OK seq=17 rtt=43ms pending=0B
t=5175ms ECHO-OK seq=18 rtt=41ms pending=0B
t=5474ms ECHO-OK seq=19 rtt=43ms pending=0B
t=5773ms ECHO-OK seq=20 rtt=42ms pending=0B
t=6066ms ECHO-OK seq=21 rtt=41ms pending=0B
t=6362ms ECHO-OK seq=22 rtt=42ms pending=0B
t=6658ms ECHO-OK seq=23 rtt=42ms pending=0B
t=6958ms ECHO-OK seq=24 rtt=45ms pending=0B
t=7260ms ECHO-OK seq=25 rtt=48ms pending=0B
t=7559ms ECHO-OK seq=26 rtt=41ms pending=0B
t=7861ms ECHO-OK seq=27 rtt=45ms pending=0B
t=8162ms ECHO-OK seq=28 rtt=45ms pending=0B
t=8460ms ECHO-OK seq=29 rtt=42ms pending=0B
t=8756ms ECHO-OK seq=30 rtt=40ms pending=0B
t=9048ms ECHO-OK seq=31 rtt=40ms pending=0B
t=9341ms ECHO-OK seq=32 rtt=41ms pending=0B
t=9640ms ECHO-OK seq=33 rtt=45ms pending=0B
t=9937ms ECHO-OK seq=34 rtt=42ms pending=0B
t=10236ms ECHO-OK seq=35 rtt=42ms pending=0B
t=10540ms ECHO-OK seq=36 rtt=46ms pending=0B
t=10843ms ECHO-OK seq=37 rtt=46ms pending=0B
t=11142ms ECHO-OK seq=38 rtt=43ms pending=0B
t=11442ms ECHO-OK seq=39 rtt=46ms pending=0B
t=11742ms ECHO-OK seq=40 rtt=43ms pending=0B
t=12038ms ECHO-OK seq=41 rtt=41ms pending=0B
t=12338ms ECHO-OK seq=42 rtt=43ms pending=0B
t=12631ms ECHO-OK seq=43 rtt=40ms pending=0B
t=12927ms ECHO-OK seq=44 rtt=41ms pending=0B
t=13225ms ECHO-OK seq=45 rtt=45ms pending=0B
t=13522ms ECHO-OK seq=46 rtt=41ms pending=0B
t=13816ms ECHO-OK seq=47 rtt=40ms pending=0B
t=14114ms ECHO-OK seq=48 rtt=41ms pending=0B
t=14409ms ECHO-OK seq=49 rtt=40ms pending=0B
t=14708ms ECHO-OK seq=50 rtt=46ms pending=0B
t=15003ms ECHO-OK seq=51 rtt=43ms pending=0B
t=15307ms ECHO-OK seq=52 rtt=47ms pending=0B
t=15611ms ECHO-OK seq=53 rtt=46ms pending=0B
t=15905ms ECHO-OK seq=54 rtt=41ms pending=0B
t=16109228ms ECHO-LATE seq=61671 rtt=332ms late=+257ms deadline=74ms pending=12B
t=16109482ms ECHO-LATE seq=61672 rtt=256ms late=+181ms deadline=74ms pending=12B
t=16109737ms ECHO-OK seq=61673 rtt=256ms pending=12B
t=16109991ms ECHO-OK seq=61674 rtt=255ms pending=12B
